WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (174.28665672124 -35.6294436685506)",105300,Kauri,56.10398784,56.10398784,1716506.55295,6056388.25925,-35.62944367,174.28665672,174.286656721,-35.6294436686
"POINT (170.825353451148 -44.0970108698041)",342000,Fairlie,4.95412588,4.95412588,1425932.5987,5115053.0057,-44.09701087,170.82535345,170.825353451,-44.0970108698
"POINT (172.775549967099 -34.5054527643316)",100100,North Cape,826.78512205,826.78512205,1579396.08115,6181775.2488,-34.50545276,172.77554997,172.775549967,-34.5054527643
"POINT (173.137442823842 -34.9162774394026)",100200,Rangaunu Harbour,272.10405305,272.10405305,1612554.6505,6136232.76615,-34.91627744,173.13744282,173.137442824,-34.9162774394
"POINT (174.158249405953 -35.2185013354381)",100300,Inlets Far North District,0,625.97275382,1705412.87215,6102111.0264,-35.21850133,174.15824941,174.158249406,-35.2185013354
"POINT (173.378738365012 -34.995278160775)",100400,Karikari Peninsula,174.18081591,174.18081591,1634562.57445,6127415.05495,-34.99527816,173.37873836,173.378738365,-34.9952781608
"POINT (173.218604066373 -35.1231472715024)",100500,Tangonge,177.20434269,177.20434269,1619918.06695,6113278.3712,-35.12314727,173.21860407,173.218604066,-35.1231472715
"POINT (173.160919377723 -35.1595169664155)",100600,Ahipara,4.5292775,4.5292775,1614655.61185,6109255.02585,-35.15951697,173.16091938,173.160919378,-35.1595169664
"POINT (173.264143021592 -35.1038347719374)",100700,Kaitaia East,5.26631029,5.26631029,1624073.02855,6115410.04495,-35.10383477,173.26414302,173.264143022,-35.1038347719
"POINT (173.267173968337 -35.1217817028019)",100800,Kaitaia West,3.21185052,3.21185052,1624343.92035,6113419.01755,-35.1217817,173.26717397,173.267173968,-35.1217817028
"POINT (173.311222404552 -35.1278500096564)",100900,Rangitihi,84.66042662,84.66042662,1628355.363,6112734.3932,-35.12785001,173.3112224,173.311222405,-35.1278500097
"POINT (173.46127558915 -35.0333174929698)",101000,Oruru-Parapara,103.28072757,103.28072757,1642075.24825,6123164.91395,-35.03331749,173.46127559,173.461275589,-35.033317493
"POINT (173.507744017992 -34.9967268249722)",101100,Taumarumaru,10.2297234,10.2297234,1646334.53585,6127202.16855,-34.99672682,173.50774402,173.507744018,-34.996726825
"POINT (173.372407449191 -35.1896425410287)",101200,Herekino-Takahue,303.69091784,303.69091784,1633904.28605,6105862.4712,-35.18964254,173.37240745,173.372407449,-35.189642541
"POINT (173.448137917866 -35.1240774682821)",101300,Peria,199.69058441,199.69058441,1640831.64315,6113105.20105,-35.12407747,173.44813792,173.448137918,-35.1240774683
"POINT (173.578903768601 -35.0253512272344)",101400,Taemaro-Oruaiti,156.73427166,156.73427166,1652809.93805,6123992.4508,-35.02535123,173.57890377,173.578903769,-35.0253512272
"POINT (173.66299854915 -35.0498769769948)",101500,Whakapaku,200.87343203,200.87343203,1660463.4437,6121224.8387,-35.04987698,173.66299855,173.662998549,-35.049876977
"POINT (173.338400979241 -35.3685089698218)",101600,Hokianga North,345.93522228,345.93522228,1630740.62845,6086036.9,-35.36850897,173.33840098,173.338400979,-35.3685089698
"POINT (173.463626681832 -35.2900686337796)",101700,Kohukohu-Broadwood,209.19924258,209.19924258,1642157.01515,6094690.1174,-35.29006863,173.46362668,173.463626682,-35.2900686338
"POINT (173.849913120966 -35.0629132968671)",101800,Whakarara,169.49143734,169.49143734,1677497.5451,6119649.8363,-35.0629133,173.84991312,173.849913121,-35.0629132969
"POINT (173.743319678638 -35.154103152171)",101900,Kaeo,255.57977504,255.57977504,1667702.38385,6109614.39505,-35.15410315,173.74331968,173.743319679,-35.1541031522
"POINT (173.617802476342 -35.2883437454517)",102000,Omahuta Forest-Horeke,463.54915239,463.54915239,1656177.3855,6094804.97815,-35.28834375,173.61780248,173.617802476,-35.2883437455
