WKT,code,name,easting,northing,latitude,longitude
POINT (174.28665672124 -35.6294436685506),105300,Kauri,1716506.55295,6056388.25925,-35.62944367,174.28665672
POINT (170.825353451148 -44.0970108698041),342000,Fairlie,1425932.5987,5115053.0057,-44.09701087,170.82535345
POINT (172.775549967099 -34.5054527643316),100100,North Cape,1579396.08115,6181775.2488,-34.50545276,172.77554997
POINT (173.137442823842 -34.9162774394026),100200,Rangaunu Harbour,1612554.6505,6136232.76615,-34.91627744,173.13744282
POINT (174.158249405953 -35.2185013354381),100300,Inlets Far North District,1705412.87215,6102111.0264,-35.21850133,174.15824941
POINT (173.378738365012 -34.995278160775),100400,Karikari Peninsula,1634562.57445,6127415.05495,-34.99527816,173.37873836
POINT (173.218604066373 -35.1231472715024),100500,Tangonge,1619918.06695,6113278.3712,-35.12314727,173.21860407
POINT (173.160919377723 -35.1595169664155),100600,Ahipara,1614655.61185,6109255.02585,-35.15951697,173.16091938
POINT (173.264143021592 -35.1038347719374),100700,Kaitaia East,1624073.02855,6115410.04495,-35.10383477,173.26414302
POINT (173.267173968337 -35.1217817028019),100800,Kaitaia West,1624343.92035,6113419.01755,-35.1217817,173.26717397
POINT (173.311222404552 -35.1278500096564),100900,Rangitihi,1628355.363,6112734.3932,-35.12785001,173.3112224
POINT (173.46127558915 -35.0333174929698),101000,Oruru-Parapara,1642075.24825,6123164.91395,-35.03331749,173.46127559
POINT (173.507744017992 -34.9967268249722),101100,Taumarumaru,1646334.53585,6127202.16855,-34.99672682,173.50774402
POINT (173.372407449191 -35.1896425410287),101200,Herekino-Takahue,1633904.28605,6105862.4712,-35.18964254,173.37240745
POINT (173.448137917866 -35.1240774682821),101300,Peria,1640831.64315,6113105.20105,-35.12407747,173.44813792
POINT (173.578903768601 -35.0253512272344),101400,Taemaro-Oruaiti,1652809.93805,6123992.4508,-35.02535123,173.57890377
POINT (173.66299854915 -35.0498769769948),101500,Whakapaku,1660463.4437,6121224.8387,-35.04987698,173.66299855
POINT (173.338400979241 -35.3685089698218),101600,Hokianga North,1630740.62845,6086036.9,-35.36850897,173.33840098
POINT (173.463626681832 -35.2900686337796),101700,Kohukohu-Broadwood,1642157.01515,6094690.1174,-35.29006863,173.46362668
POINT (173.849913120966 -35.0629132968671),101800,Whakarara,1677497.5451,6119649.8363,-35.0629133,173.84991312
POINT (173.743319678638 -35.154103152171),101900,Kaeo,1667702.38385,6109614.39505,-35.15410315,173.74331968
POINT (173.617802476342 -35.2883437454517),102000,Omahuta Forest-Horeke,1656177.3855,6094804.97815,-35.28834375,173.61780248
POINT (173.484387026095 -35.4680138690759),102100,Hokianga South,1643948.14205,6074946.17265,-35.46801387,173.48438703
POINT (173.865350131607 -35.182673242285),102200,Lake Manuwai-Kapiro,1678789.75475,6106356.02255,-35.18267324,173.86535013
POINT (173.790815552075 -35.2866115918586),102300,Okaihau,1671911.4646,6094885.3557,-35.28661159,173.79081555
POINT (173.939143102298 -35.1341833083267),102400,Rangitane-Purerua,1685559.53205,6111672.7895,-35.13418331,173.9391431
POINT (173.918413959211 -35.2099337956037),102500,Waipapa,1683593.3947,6103289.36305,-35.2099338,173.91841396
POINT (173.903307529198 -35.2517627982655),102600,Puketotara,1682176.1845,6098662.9188,-35.2517628,173.90330753
POINT (173.629526324948 -35.4871663780762),102700,Waima Forest,1657103.15145,6072747.7433,-35.48716638,173.62952632
POINT (173.962434198985 -35.2080596201954),102800,Riverview,1687602.2238,6103459.29685,-35.20805962,173.9624342
POINT (173.51134901714 -35.5812843552441),102900,Waipoua Forest,1646329.2604,6062371.3166,-35.58128435,173.51134902
POINT (173.950963038966 -35.2250730934155),103000,Kerikeri Central,1686540.0073,6101582.46485,-35.22507309,173.95096304
POINT (173.957787401371 -35.2463988400324),103100,Kerikeri South,1687138.24795,6099211.34965,-35.24639884,173.9577874
POINT (173.859923724124 -35.3352090378143),103200,Ohaeawai-Waimate North,1678149.0902,6089443.304,-35.33520904,173.85992372
POINT (174.000952464783 -35.2799182180276),103300,Puketona-Waitangi,1691027.9822,6095455.082,-35.27991822,174.00095246
POINT (173.765348346736 -35.4228325980918),103400,Ngapuhi,1669478.82095,6079795.79675,-35.4228326,173.76534835
